O.S;Status;Cod Classe;Classe;Cod Motivo;Motivo;Cod Oficina;OF;Oficina;Equipamento;Frota;Modelo;Cod Modelo;Cod Categ;Categoria Operacional;Cod Prestador;Prestador;Entrada;Saída Prevista;Saída;H;Descrição da ordem;Unidade;CC;Descrição CC;Operação;Qtd Dias aberto;Status Frotas
152559146;Planejada;11;Manut. Agreg/Compon.;3;QUEBRA DO EQUIPAMENT;11001;OFICINA FIXA;Interna;Equipamento;102770;John Deere 8270R 4X4;784;3;Trator de Pneu;0;0;10/02/2025;12/02/2025 00:00;0;79,19;"Eltrica - Alternador    - 3008123
";Barra;3316;MAQUINAS PREPARO DE SOLO;Produção;4;DISPONIVEL
152558468;Andamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;61045;Case Puma 230 4x4;1232;3;Trator de Pneu;0;0;10/02/2025;10/03/2025 17:30;0;0;"Número da Amostra: 2400855657 Status da amostra: CRITICO Nome do compartimento: Nome do compartimento: 103 Subsistema lubrificação
Avaliação: Encontrado alta concentração de Ferro, Cobre, Cromo, Alumínio, Silício e leve índice de PQI. O resultado indica contaminação externa e possível desgaste nos anéis de segmento, pistões e camisas de cilindro.
Ações de inspeção:  É recomendado verificar as condições dos filtros de ar, assentamento da tampa, aperto das abraçadeiras, nível de óleo no cárter, aumento de blow-by, perda de potência e possível presença de partículas de desgaste no filtro de óleo. Enviar nova amostra com 125 horas. ****EQUIPAMENTO REFORMA ENTRESSAFRA - REGULARIZAÇÃO DA OS: 152555854***

";Barra;3340;APLICAÇÃO VINHAÇA ADUTORA;Produção;4;DISPONIVEL
152559153;Planejada;11;Manut. Agreg/Compon.;3;QUEBRA DO EQUIPAMENT;11001;OFICINA FIXA;Interna;Equipamento;101526;John Deere CH670 2L Colhe;1191;11;Colhedora;0;0;10/02/2025;12/02/2025 00:00;0;79,06;"Eltrica - Motor Partida - 3006549
";Barra;3420;CORTE MECÂNICO PRÓPRIO;Ccta;4;DISPONIVEL
152559157;Planejada;11;Manut. Agreg/Compon.;3;QUEBRA DO EQUIPAMENT;11001;OFICINA FIXA;Interna;Equipamento;100786;Case Puma 230 4x4;1232;3;Trator de Pneu;0;0;10/02/2025;12/02/2025 00:00;0;79,04;"Elétrica - Motor partida - 3005958
";Barra;3460;REB TRANSB PRÓPRIO;Ccta;4;DISPONIVEL
152558533;Andamento;5;Preventiva Condicional;36;SENSITIVA CAMPO;11001;OFICINA FIXA;Interna;Equipamento;96339;M.Benz Atego 2730K 6x4;1310;1;Caminhão;0;0;10/02/2025;10/02/2025 22:00;0;0;"Fixa - conferir parte elétrica, colocar parabarro trazeiro LE.
";Barra;3322;TRANSP AGRIC MUNCK;Apoio;4;DISPONIVEL
152558534;Andamento;5;Preventiva Condicional;36;SENSITIVA CAMPO;11001;OFICINA FIXA;Interna;Equipamento;96842;Reboque Randon 8,20 M;961;2;Julieta;0;0;10/02/2025;10/02/2025 22:00;0;50,92;"Fixa - colocar parabarro trazeiro LE  e LD, conferir parte elétrica, trocar corrente de segurança.
";Barra;3322;TRANSP AGRIC MUNCK;Apoio;4;DISPONIVEL
119883305;Andamento;11;Manut. Agreg/Compon.;33;DESGASTE/FIM DE VIDA;30001;OFICINA FIXA;Interna;Equipamento;74038;Subs.de Arrasto Marchesan;1342;28;Implemento Agricola;0;0;10/02/2025;10/02/2025 23:00;0;77,03;"trocar retentor 
";Diamante;3328;IMPLEMENTOS PREPARO SOLO;Produção;4;DISPONIVEL
152558589;Andamento;5;Preventiva Condicional;36;SENSITIVA CAMPO;11001;OFICINA FIXA;Interna;Equipamento;96667;Volkswagen 31.320 CNC 6x4;571;1;Caminhão;0;0;10/02/2025;10/02/2025 22:00;0;55,92;"Fixa - trocar o farol dianteiro LD 
";Barra;3320;TRANSPORTE BASCULANTES;Apoio;4;DISPONIVEL
152558591;Andamento;14;Centro de custo;26;CENTRO DE CUSTO;11001;OFICINA FIXA;Interna;Centro de Custo;3315;BAZUKA E ÁREA VIVÊNCIA PM;0;0;Centro de Custo;0;0;10/02/2025; ;0;75,86;"peças
";Centro de Custo;3315;BAZUKA E ÁREA VIVÊNCIA PM;Produção;4;Centro de Custo
152558618;Andamento;5;Preventiva Condicional;36;SENSITIVA CAMPO;11002;OFICINA CAMPO;Campo;Equipamento;74517;M.Benz Atego 2730K 6x4;1310;1;Caminhão;0;0;10/02/2025;10/02/2025 22:00;0;0;"TROCAR PNEUS
";Barra;3255;BORRACHARIA;Oficinas;3;DISPONIVEL
152558619;Andamento;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11001;OFICINA FIXA;Interna;Equipamento;100767;Case Puma 230 4x4;1232;3;Trator de Pneu;0;0;10/02/2025;11/02/2025 11:02;0;51,92;"Execução antecipada do plano: MANUTENÇÃO PREVENTIVA PROGRAMADA ****ENTRESSAFRA - PLANO EXECUTADO DA FIXA***
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 345/93/90/31/30/15
";Barra;3460;REB TRANSB PRÓPRIO;Ccta;3;DISPONIVEL
152558621;Andamento;5;Preventiva Condicional;36;SENSITIVA CAMPO;11001;OFICINA FIXA;Interna;Equipamento;96698;Volkswagen 31.330 CRC 6x4;823;1;Caminhão;0;0;10/02/2025;10/02/2025 22:00;0;72,92;"Fixa - vidro travado LE , vazamento no tanque de agua
";Barra;3326;TRANSP APOIO TRATOS PRÓPR;Produção;3;DISPONIVEL
119883307;Andamento;11;Manut. Agreg/Compon.;3;QUEBRA DO EQUIPAMENT;30001;OFICINA FIXA;Interna;Equipamento;360917;John Deere CH570 1L Colhe;1219;11;Colhedora;0;0;10/02/2025;10/02/2025 23:00;0;73,31;"trocar peças 
";Diamante;3420;CORTE MECÂNICO PRÓPRIO;Ccta;3;DISPONIVEL
152558708;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;72628;M.Benz Atego 2730K 6x4;1310;1;Caminhão;0;0;10/02/2025;10/03/2025 17:30;0;0;"Número da Amostra: 2400849173 Status da amostra: CRITICO Nome do compartimento: Nome do compartimento: 772 Eixo diferencial traseiro
Avaliação: Encontrado impurezas visíveis a olho nu e elevada Contaminação por Água de 29995 ppm, justificando a aparência turva da amostra. O resultado indica contaminação externa. Devido a grande quantidade Água presente na amostra, não foi possível a análise dos elementos de Desgaste, Carga Aditiva e Contaminação, além do ensaio de Viscosidade. Ações de inspeção:  Parar o equipamento o mais rápido possível. Verificar o procedimento de lavagem do compartimento, danos nas vedações, evidências de vazamentos e as condições de operação. Trocar o óleo e enviar nova amostra com a metade do período de troca recomendado. Informar o grau de viscosidade, fabricante e o período de trabalho do óleo e do compartimento. Estas informações são essenciais para uma melhor avaliação dos resultados. ****EQUIPAMENTO TERCEIRO
";Diamante;3326;TRANSP APOIO TRATOS PRÓPR;Produção;3;DISPONIVEL
152558712;Andamento;11;Manut. Agreg/Compon.;3;QUEBRA DO EQUIPAMENT;11030;Serviços Terceiros;Terceiro;Equipamento;96658;Volkswagen 31.320 CNC 6x4;571;1;Caminhão;82961;BS CRONOTACOGRAFOS COMERCIO E SERVICOS D;10/02/2025;10/03/2025 07:00;0;72,18;"SERVIÇO E MANUTENÇÃO DE TACOGRAFOS
";Diamante;3326;TRANSP APOIO TRATOS PRÓPR;Produção;3;DISPONIVEL
152558716;Andamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11018;Borracharia Barra;Interna;Equipamento;422009;Cat 120 Lever Motonivelad;1436;14;Motoniveladora;0;0;10/02/2025;10/02/2025 18:00;0;0;"Reserva 
";Diamante;3317;MECANIZ MÁQ AMARELAS;Máq Amarelas;3;DISPONIVEL
152558719;Andamento;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11001;OFICINA FIXA;Interna;Equipamento;100786;Case Puma 230 4x4;1232;3;Trator de Pneu;0;0;10/02/2025;11/02/2025 14:08;0;0;"Execução antecipada do plano: MANUTENÇÃO PREVENTIVA PROGRAMADA ***ENTRESSAFRA - PLANO SERÁ FEITO NA FIXA***
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 345/93/90/31/30/15
";Barra;3460;REB TRANSB PRÓPRIO;Ccta;3;DISPONIVEL
152558721;Andamento;11;Manut. Agreg/Compon.;3;QUEBRA DO EQUIPAMENT;11030;Serviços Terceiros;Terceiro;Equipamento;96672;Volkswagen 31.280 CRM 6x4;753;1;Caminhão;82961;BS CRONOTACOGRAFOS COMERCIO E SERVICOS D;10/02/2025;10/03/2025 07:00;0;70,34;"SERVIÇO E MANUTENÇÃO EM TACOGRAFOS
";Barra;3321;TRANSPORTE MUDA PICADA;Produção;3;DISPONIVEL
152557747;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;25854;Plant. Cana ATA PCP 1102;950;39;Plantadora de Cana;0;0;11/02/2025;11/02/2025 00:19;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Diamante;3319;MEC MAQ PLANTIO MECANIZAD;Produção;3;DISPONIVEL
152557749;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;25855;Plant. Cana ATA PCP 1102;950;39;Plantadora de Cana;0;0;11/02/2025;11/02/2025 00:19;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Diamante;3319;MEC MAQ PLANTIO MECANIZAD;Produção;3;DISPONIVEL
152557751;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;25856;Plant. Cana ATA PCP 1102;950;39;Plantadora de Cana;0;0;11/02/2025;11/02/2025 00:19;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Diamante;3319;MEC MAQ PLANTIO MECANIZAD;Produção;3;DISPONIVEL
152557753;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;71896;John Deere 8270R 4X4;784;3;Trator de Pneu;0;0;11/02/2025;11/02/2025 00:36;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Diamante;3316;MAQUINAS PREPARO DE SOLO;Produção;3;DISPONIVEL
152557754;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;72200;John Deere 8270R 4X4;784;3;Trator de Pneu;0;0;11/02/2025;11/02/2025 00:36;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Diamante;3319;MEC MAQ PLANTIO MECANIZAD;Produção;3;DISPONIVEL
152557755;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;72201;John Deere 8270R 4X4;784;3;Trator de Pneu;0;0;11/02/2025;11/02/2025 00:36;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Diamante;3319;MEC MAQ PLANTIO MECANIZAD;Produção;3;DISPONIVEL
152557756;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;72202;John Deere 8270R 4X4;784;3;Trator de Pneu;0;0;11/02/2025;11/02/2025 00:36;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Diamante;3319;MEC MAQ PLANTIO MECANIZAD;Produção;3;DISPONIVEL
152557795;Andamento;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;93180;John Deere 7230 J 4x4;1298;3;Trator de Pneu;0;0;11/02/2025;11/02/2025 00:36;0;56,91;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3312;MÁQUINAS CULTIVO;Produção;3;DISPONIVEL
152557797;Andamento;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;93184;John Deere 7230 J 4x4;1298;3;Trator de Pneu;0;0;11/02/2025;11/02/2025 00:36;0;55,91;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3312;MÁQUINAS CULTIVO;Produção;3;DISPONIVEL
152557799;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);33002;OFICINA CAMPO;Campo;Equipamento;93187;John Deere 7230 J 4x4;1298;3;Trator de Pneu;0;0;11/02/2025;11/02/2025 00:36;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3312;MÁQUINAS CULTIVO;Produção;3;DISPONIVEL
152557801;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;98352;Transb.Carroc.Grunner 20T;1471;46;Carroceria Transbordo;0;0;11/02/2025;11/02/2025 00:19;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3460;REB TRANSB PRÓPRIO;Ccta;3;DISPONIVEL
152557803;Andamento;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;98381;Transb.Carroc.Grunner 20T;1471;46;Carroceria Transbordo;0;0;11/02/2025;11/02/2025 00:19;0;51,42;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3460;REB TRANSB PRÓPRIO;Ccta;3;DISPONIVEL
152557805;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;98383;Transb.Carroc.Grunner 20T;1471;46;Carroceria Transbordo;0;0;11/02/2025;11/02/2025 00:19;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3460;REB TRANSB PRÓPRIO;Ccta;3;DISPONIVEL
152557807;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;98395;Transb.Carroc.Grunner 20T;1471;46;Carroceria Transbordo;0;0;11/02/2025;11/02/2025 00:19;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3460;REB TRANSB PRÓPRIO;Ccta;3;DISPONIVEL
152557809;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;100827;Case Puma 140 4x4;1409;3;Trator de Pneu;0;0;11/02/2025;11/02/2025 00:21;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3325;MAQUINAS TRATOS CULTURAIS;Produção;3;DISPONIVEL
152557811;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;100829;Case Puma 140 4x4;1409;3;Trator de Pneu;0;0;11/02/2025;11/02/2025 00:21;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3325;MAQUINAS TRATOS CULTURAIS;Produção;3;DISPONIVEL
152557813;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;100830;Case Puma 140 4x4;1409;3;Trator de Pneu;0;0;11/02/2025;11/02/2025 00:21;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3336;PATIO CAR. TRANS. TORTA;Produção;3;DISPONIVEL
152557815;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;101730;Hidro Roll Setorial;1083;40;Hidro Roll (Sem Motor);0;0;11/02/2025;11/02/2025 00:18;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3340;APLICAÇÃO VINHAÇA ADUTORA;Produção;3;DISPONIVEL
152557817;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;101731;Hidro Roll Setorial;1083;40;Hidro Roll (Sem Motor);0;0;11/02/2025;11/02/2025 00:18;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3340;APLICAÇÃO VINHAÇA ADUTORA;Produção;3;DISPONIVEL
152557819;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;102240;John Deere 8270R 4X4;784;3;Trator de Pneu;0;0;11/02/2025;11/02/2025 00:36;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3319;MEC MAQ PLANTIO MECANIZAD;Produção;3;DISPONIVEL
152557820;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;102242;John Deere 8270R 4X4;784;3;Trator de Pneu;0;0;11/02/2025;11/02/2025 00:36;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3319;MEC MAQ PLANTIO MECANIZAD;Produção;3;DISPONIVEL
152557821;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;102250;John Deere 624K Pá Carreg;1140;12;Pá Carregadora;0;0;11/02/2025;11/02/2025 00:19;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3336;PATIO CAR. TRANS. TORTA;Produção;3;DISPONIVEL
152557822;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;102398;Moto Bomba MWM D229/6;82;17;Moto Bomba;0;0;11/02/2025;11/02/2025 00:15;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3340;APLICAÇÃO VINHAÇA ADUTORA;Produção;3;DISPONIVEL
152557823;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;103506;Plant.Cana TMA 2 Linhas;1090;39;Plantadora de Cana;0;0;11/02/2025;11/02/2025 00:30;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3319;MEC MAQ PLANTIO MECANIZAD;Produção;3;DISPONIVEL
152557824;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;117587;John Deere CH570 1L Colhe;1219;11;Colhedora;0;0;11/02/2025;11/02/2025 00:25;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3424;COLHEDORA MUDA;Produção;3;DISPONIVEL
152557826;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;140067;Plant.Cana TMA 2 Linhas;1090;39;Plantadora de Cana;0;0;11/02/2025;11/02/2025 00:30;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3319;MEC MAQ PLANTIO MECANIZAD;Produção;3;DISPONIVEL
152557827;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;361219;Plant.Cana TMA 2 Linhas;1090;39;Plantadora de Cana;0;0;11/02/2025;11/02/2025 00:30;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3319;MEC MAQ PLANTIO MECANIZAD;Produção;3;DISPONIVEL
152557828;Programada;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;7011578;John Deere 7225 J 4x4;949;3;Trator de Pneu;0;0;11/02/2025;11/02/2025 00:36;0;0;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3316;MAQUINAS PREPARO DE SOLO;Produção;3;DISPONIVEL
152557829;Andamento;2;Preventiva  Sistema;5;PREVENTIVA (MANFRO);11002;OFICINA CAMPO;Campo;Equipamento;7011581;John Deere 7225 J 4x4;949;3;Trator de Pneu;0;0;11/02/2025;11/02/2025 00:36;0;57,42;"Execução plano: PLANO BASICO DE LUBRIFICAÇÃO
Ordem de Serviço programada para o(s) Plano(s) de Manutenção: 50
";Barra;3312;MÁQUINAS CULTIVO;Produção;3;DISPONIVEL
