O.S;Status;Classe;Frota;Unidade;Centro;Modelo;Entrada;Descrição da O.S;Cód 1;Cód 2;Cód 3;Priorização;Operação;Cód 4;Material/Laudo/Serviço;Semana;DF;Frente;Observação;Ver e Agir ;Engenharia;Aprovisionamento;Execução;Gestão
165527883;Aprovisionamento;Preventiva Condicional;101519;BARRA;3420;John Deere CH670 2L Colhe;30/07/2025;"A_OT_P_MEC_1,00_1,00 - Inspeção realizada no sistema de cabine. Instalar isolador de cabine,esta faltando.     8142557_2    8103248_4  
";A_OT_P;A;A_OT;1;OT;P;MATERIAL;33;93,04%;203;Inversas;Não listado;Não programar;;;
165527905;Aprovisionamento;Preventiva Condicional;98293;BARRA;3460;MB Axor3131 8x4 Trans.CCT;30/07/2025;"A_SS_P_MEC_2_2,00 - Inspeção realizada nas caregens partes quentes, colocar tela de proteção LE, está faltando 8192130_1; 6012077_20 NECESSÁRIO LEVAR FURADEIRA, BROCA E REBITADEIRA
";A_SS_P;A;A_SS;1;SS;P;MATERIAL;33;100,00%;205;Inversas;Não listado;Não programar;;;
165527906;Aprovisionamento;Preventiva Condicional;98292;BARRA;3460;MB Axor3131 8x4 Trans.CCT;30/07/2025;"A_SS_P_MEC_2_3,00 - Inspeção realizada no chassi, sacar parafusos e trocar parafusos cisalhados da viga de suporte de reação dos diferenciais do longarina LE, quadro buggie), estão quebrados e soltos  APLICAR TORQUE 220 N.M    8122822_15; 8185275_15
";A_SS_P;A;A_SS;1;SS;P;MATERIAL;33;100,00%;205;Inversas;Não listado;Não programar;;;
165527907;Aprovisionamento;Preventiva Condicional;98292;BARRA;3460;MB Axor3131 8x4 Trans.CCT;30/07/2025;"A_MT_P_MEC_0,10_1,00 - Inspeção realizada no sistema do tanque arla. Trocar a tampa do tanque, está com vazamento. 8174965_1  
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;100,00%;205;Inversas;Não listado;Não programar;;;
165528015;Liberado para Programação;Preventiva Condicional;100769;BARRA;3460;Case Puma 230 4x4;31/07/2025;"A_MT_P_MEC_1_1,00 - Inspeção realizada no motor diesel, reapertar mangueiras do radiador , está com vazamento. SE FOR NECESSÁRIO SOLICITAR PEÇAS, REPORTAR AO INSPETOR 
";A_MT_P;A;A_MT;1;MT;P;SERVIÇO;33;96,71%;202;Preventiva;Não listado;Ver e agir;;;
165502022;Aprovisionamento;Preventiva Condicional;100765;DIA;3460;Case Puma 230 4x4;11/06/2025;"A_SS_P_MEC_1,00_1- Inspeção realizada no sistema de alimentação, Trocar o copinho e mangueiras do sistema de alimentação.  8138540_1(P5); 8151541_1(P5); 8161693_1(P5); 8141559_3(P5); 8161676_1; 8122364_1; 8150822_1(P5); 8151542_1(P5).
";A_SS_P;A;A_SS;1;SS;P;MATERIAL;33;98,93%;261;Inversas;Não listado;Programar;;;
165529408;Liberado para Programação;Preventiva Condicional;61038;BARRA;3460;Case Puma 230 4x4;01/08/2025;"A_SS_S_MEC_1_1,00 - Inspeção realizada na transmissão, reapertar tampa da tomada de força, está som parafusos soltos
";A_SS_S;A;A_SS;1;SS;S;SERVIÇO;33;1;203;Preventiva;Não listado;Ver e agir;;;
165529520;Aprovisionamento;Preventiva Condicional;100804;BARRA;3460;Case Puma 230 4x4;02/08/2025;"M_VZ_P_MEC_1_2,00 - Inspeção realizada no sistema pneumático, trocar o compressor pneumático, está com vazamento 3011133_1  frente 203
";M_VZ_P;M;M_VZ;2;VZ;P;MATERIAL;33;69,22%;203;Preventiva;Não listado;Ver e agir;;;
165502023;Liberado para Programação;Preventiva Condicional;100764;DIA;3460;Case Puma 230 4x4;11/06/2025;"A_SS_P_MEC_1,00_1- Inspeção realizada no sistema de alimentação, Trocar o copinho e mangueiras do sistema de alimentação.  8138540_1(P5); 8151541_1(P5); 8161693_1; 8141559_3(P5); 8161676_1; 8122364_1; 8150822_1(P5); 8151542_1(P5).
";A_SS_P;A;A_SS;1;SS;P;MATERIAL;33;0,9475;261;Inversas;Não listado;Programar;;;
165519217;Aprovisionamento;Preventiva Condicional;100776;BARRA;3460;Case Puma 230 4x4;12/07/2025;"A_MT_P_MEC_1_0,30 - Inspeção realizada no motor, trocar mangueira de saida do reservtório de arrefecimento, está ressecada 8129957_1; 6000089_2   FRENTE 206
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;100,00%;206;Preventiva;SEM DEVOLUTIVA;Ver e agir;;;
165529525;Aprovisionamento;Preventiva Condicional;100804;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_MT_P_MEC_1_2,00 - Inspeção realizada no motor, trocar respiro da tampa de válvula, está com vazamento        8194210_1; 8156732_1; 8126217_1; 8163419_1_6000089_2; 6000090_2; 8194198_1  SE POSSÍVEL PROGRAMAR JUNTO AO PLANO DE 90 (REGULAGEM DE VÁLVULA)   FRENTE 203 
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;69,22%;203;Preventiva;Não listado;Programar;;;
165502025;Liberado para Programação;Preventiva Condicional;100781;BARRA;3460;Case Puma 230 4x4;11/06/2025;"A_SS_P_MEC_1,00_1- Inspeção realizada no sistema de alimentação, Trocar o copinho e mangueiras do sistema de alimentação.  8138540_1; 8151541_1(P5); 8161693_1; 8141559_3(P5); 8161676_1; 8122364_1; 8150822_1; 8151542_1(P5) e bomba de alta, 8110701(P5)_1; 8178177_1(P5); 8138739_2.
";A_SS_P;A;A_SS;1;SS;P;MATERIAL;33;99,91%;261;Preventiva;Não listado;Programar;;;
165502039;Liberado para Programação;Preventiva Condicional;100819;DIA;3460;Case Puma 230 4x4;11/06/2025;"A_SS_P_MEC_1,00_1- Inspeção realizada no sistema de alimentação, Trocar o copinho e mangueiras do sistema de alimentação.  8138540_1(P5); 8151541(P5)_1; 8161693_1(P5); 8141559_3(P5); 8161676_1(P5); 8122364_1; 8150822_1(P5); 8151542_1(P5).
";A_SS_P;A;A_SS;1;SS;P;MATERIAL;33;0,9773;261;Inversas;Não listado;Programar;;;
165522327;Aprovisionamento;Preventiva Condicional;49632;DIA;3460;Case Puma 230 4x4;18/07/2025;"A_MT_P_MEC_1_0,30 - Inspeção realizada no sistema do motor diesel, trocar manguiera de limpeza a vácuo do purificador de ar, está ressecada. causando a quebra do purificador de ar 8129943_1; 8162187_2  frente 262
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;0,9756;262;Preventiva;Não listado;Programar;;;
165521116;Aprovisionamento;Preventiva Condicional;100761;DIA;3460;Case Puma 230 4x4;16/07/2025;"A_MT_P_MEC_1_0,30 - Inspeção realizada no tanque diesel - Instalar  respiro do tanque diesel, esta danificado o respiro 8141532_01  frente 262
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;92,71%;262;Preventiva;Não listado;Programar;;;
165529531;Liberado para Programação;Preventiva Condicional;100804;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_MT_S_SOL_1_1,00 - Inspeção realizada no motor diesel, soldar tubo do silêncioso, está com trinca na base do silêncioso
";A_MT_S;A;A_MT;1;MT;S;SERVIÇO;33;69,22%;203;Preventiva;Não listado;Ver e agir;;;
165529568;Aprovisionamento;Preventiva Condicional;100791;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_MT_P_MEC_1_0,30_1 - Inspeção realizado no motor diesel. Tensor da correia do motor e do compressor pneumático, está com folga . Trocar tensor da correia do motor.  8129892_1; 8138304_01  frente 203 
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;92,19%;203;Preventiva;Não listado;Ver e agir;;;
165529533;Aprovisionamento;Preventiva Condicional;100786;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_VZ_P_MEC_1_2,00 - Inspeção realizada no sistema pneumático, trocar o compressor pneumático, está com vazamento 3011133_1 frente 203
";A_VZ_P;A;A_VZ;1;VZ;P;MATERIAL;33;98,91%;203;Inversas;Não listado;Não programar;;;
165509478;Aprovisionamento;Preventiva Condicional;100825;BARRA;3460;Case Puma 230 4x4;25/06/2025;"A_SS_P_MEC_1_1,00 - Inspeção realizada no sistema de motor diesel, trocar mangueiras de combustível entrada/saída do 1° filtro (caneca de vidro), estão com vazamento de combustível 8138764_1; 8138750_1
";A_SS_P;A;A_SS;1;SS;P;MATERIAL;33;85,63%;208;Preventiva;Não listado;Programar;;;
165511016;Aprovisionamento;Preventiva Condicional;100817;BARRA;3460;Case Puma 230 4x4;27/06/2025;"B_TR_P_MEC_2_2,00 - Inspeção realizada no sistema de transmissão, trocar tubulação de óleo da transmissão para o trocador de calor na parte frontal, está com mangueiras ressecadas 8139106_1;  8139107_1; 8155351_4
";B_TR_P;B;B_TR;3;TR;P;MATERIAL;33;0,00%;208;Inversas;Não listado;Programar;;;
165529536;Aprovisionamento;Preventiva Condicional;100786;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_MT_P_MEC_2_2,00 - Inspeção realizada no motor, trocar chicote da uidade injetora do 1° e 6° unidade injetora, estão com vazamento pela tomada 8161622_2     NECESSÁRIO RECOLHER O EQUIPAMENTO 
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;98,91%;203;Inversas;Não listado;Avaliar: Inspeção / Execução;;;
165529538;Aprovisionamento;Preventiva Condicional;100786;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_MT_P_MEC_0,10_1,00 - Inspeção realizada no sistema de motor. Trocar tampa da carcaça do filtro de ar do motor. Esta com emcaixe de presilhas quebrada.  8138927_1  frente 210 
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;98,91%;203;Inversas;Não listado;Não programar;;;
165529539;Liberado para Programação;Preventiva Condicional;100786;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_VZ_S_MEC_1_1,00 - Inspeção realizada no sistema de direção, corrigir vazamento na válvula de direção (orbitrol), está com vazamento NÃO É POSSÍVEL IDENTIFICAR A ORIGEM, NECESSÁRIO LAVAR
";A_VZ_S;A;A_VZ;1;VZ;S;SERVIÇO;33;0,9891;203;Inversas;Não listado;Não programar;;;
165529540;Aprovisionamento;Preventiva Condicional;100786;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_VZ_P_MEC_2,00_2,00 - Inspeção realizada no sistema de transmissão. Trocar reparo da carcaça do filtro de transmissão. Esta vazando. NECESSARIO ESGOTAR O OLEO DA TRANSMISSÃO.        8140307_2   8125593_1   frente 203
";A_VZ_P;A;A_VZ;1;VZ;P;MATERIAL;33;98,91%;203;Inversas;Não listado;Não programar;;;
165529542;Aprovisionamento;Preventiva Condicional;100786;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_VZ_P_MEC_1_1,00 - Inspeção realizada no sistema hidráulico, trocar cilindro do levante LD, está com vazamento 3012797_1  
";A_VZ_P;A;A_VZ;1;VZ;P;MATERIAL;33;98,91%;203;Inversas;Não listado;Ver e agir;;;
165529543;Liberado para Programação;Preventiva Condicional;100786;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_MT_S_SOL_1_1,00 - Inspeção realizada no motor diesel, soldar tubo do silêncioso, está com trinca na base do silêncioso
";A_MT_S;A;A_MT;1;MT;S;SERVIÇO;33;0,9891;203;Inversas;Não listado;Ver e agir;;;
165510923;Aprovisionamento;Preventiva Condicional;100806;BARRA;3460;Case Puma 230 4x4;27/06/2025;"A_MT_P_MEC_1_1,00 - Inspeção realizada no motor, trocar purificador de ar e mangueira da linha de vácuo do sistema de limpeza do purificador de ar ao escapamento, está quebrada 8150436_1(P5); 8174443_2; 8162187_2(P5); 8129943_1(P5); 8165112_1    frente 208
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;99,47%;208;Inversas;Não listado;Programar;;;
165529545;Liberado para Programação;Preventiva Condicional;100779;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_OT_S_MEC_1_1,00 - Inspeção realizada no eixo dianteiro, reapertar limitadores de esterção, estão soltos  
";A_OT_S;A;A_OT;1;OT;S;SERVIÇO;33;96,85%;203;Preventiva;Não listado;Ver e agir;;;
165529546;Liberado para Programação;Preventiva Condicional;100779;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_TR_P_MEC_1_1,00  - Inspeção realizada na transmissão, sacar parafusos quebrados e reapertar parafusos da tampa da transmissão
";A_TR_P;A;A_TR;1;TR;P;SERVIÇO;33;96,85%;203;Preventiva;Não listado;Ver e agir;;;
165529547;Aprovisionamento;Preventiva Condicional;100783;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_MT_P_0,10_1,00 - Inspeção realizada no sistema de motor. Trocar tampa da carcaça do filtro de ar do motor. Esta quebrada onde vai as presilhas.         8138927_1
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;85,19%;203;Inversas;Não listado;Não programar;;;
165511584;Aprovisionamento;Preventiva Condicional;100815;BARRA;3460;Case Puma 230 4x4;30/06/2025;"A_MT_P_MEC_1_1,00 - Inspeção realizada no motor, trocar purificador de ar e mangueira da linha de vácuo do sistema de limpeza do purificador de ar ao escapamento, está quebrada 8150436_1; 8174443_2; 8162187_2; 8129943_1; 8165112_1 

";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;100,00%;202;Preventiva;Não listado;Programar;;;
165529549;Aprovisionamento;Preventiva Condicional;100777;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_MT_P_MEC_1_0,30 - Inspeção realizada no motor - trocar tensor de correia do compressor de ar pneumático, o atual está com folga 8138304_01 frente 203
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;98,75%;203;Inversas;Não listado;Não programar;;;
165529550;Aprovisionamento;Preventiva Condicional;100777;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_SS_P_MEC_1_1,00 - Inspeção realizada no sistema da cabine. Trocar o amortecedores da capô. Está ruim 8130041_2 frente 261 
";A_SS_P;A;A_SS;1;SS;P;MATERIAL;33;98,75%;203;Inversas;Não listado;Ver e agir;;;
165529551;Liberado para Programação;Preventiva Condicional;100777;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_SS_S_MEC_1_1,00 - Inspeção realizada no eixo dianteiro, reapertar parafusos da cavilha superior L/E, estão soltos
";A_SS_S;A;A_SS;1;SS;S;SERVIÇO;33;98,75%;203;Inversas;Não listado;Não programar;;;
165529555;Aprovisionamento;Preventiva Condicional;61038;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_VZ_P_MEC_2_2,00 - Inspeção realizada no eixo dianteiro, trocar retentor  do semi eixo  LE, está com vazamento 8118060_1; 8118061_1  6031339_1; 8072952_1;8035182_1; 8139397_1 NECESSÁRIO REMOVER O PNEU DIANTEIRO E CALÇAR O EIXO COM CAVALETE.  LEVAR SOQUETE 90MM E TORQUIMETRO PARA APERTAR A PORCA DO CUBO APLICAR TORQUE 500-545N.M
";A_VZ_P;A;A_VZ;1;VZ;P;MATERIAL;33;100,00%;203;Preventiva;Não listado;Programar;;;
165529556;Liberado para Programação;Preventiva Condicional;61038;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_SS_S_MEC_1_1,00 - Inspeção realizada no eixo dianteiro, reapertar parafusos da cavilha superior LD, estão soltos
";A_SS_S;A;A_SS;1;SS;S;SERVIÇO;33;100,00%;203;Preventiva;Não listado;Ver e agir;;;
165513662;Aprovisionamento;Preventiva Condicional;100760;DIA;3460;Case Puma 230 4x4;03/07/2025;"A_MT_P_MEC_1_1,00 - Inspeção realizada no motor, trocar purificador de ar e mangueira da linha de vácuo do sistema de limpeza do purificador de ar ao escapamento, está quebrada 8150436_1; 8174443_2; 8162187_2; 8129943_1; 8165112_1   frente 261
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;0,7528;261;Inversas;Não listado;Programar;;;
165529530;Aprovisionamento;Preventiva Condicional;100804;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_MT_P_MEC_1_0,30_1 - Inspeção realizado no motor diesel. Tensor da correia do motor esta danificado. Trocar tensor da correia do motor.  8129892_1.  frente 207 
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;69,22%;203;Preventiva;Não listado;Ver e agir;;;
165521774;Aprovisionamento;Preventiva Condicional;100826;DIA;3460;Case Puma 230 4x4;17/07/2025;"A_MT_P_MEC_1_0,30_1 - Inspeção realizado no motor diesel. Tensor da correia do motor esta danificado. Trocar tensor da correia do motor.  8129892_1.  frente 207
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;0,9777;262;Preventiva;Não listado;Ver e agir;;;
165516968;Aprovisionamento;Preventiva Condicional;100764;DIA;3460;Case Puma 230 4x4;09/07/2025;"A_MT_P_MEC_1_1,00 - Inspeção realizada no motor, trocar purificador de ar e mangueira linha de vácuo do sistema de limpeza do purificador de ar ao escapamento, está quebrada 8150436_1; 8174443_2; 8162187_2; 8129943_1; 8165112_1    frente 261
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;94,75%;261;Inversas;Não listado;Programar;;;
165529561;Aprovisionamento;Preventiva Condicional;61038;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_MT_P_MEC_1_2,00 - Inspeção realizada no motor, trocar respiro da tampa de válvula, está com vazamento        8194210_1; 8156732_1; 8126217_1; 8163419_1_6000089_2; 6000090_2; 8194198_1  SE POSSÍVEL PROGRAMAR JUNTO AO PLANO DE 90 (REGULAGEM DE VÁLVULA)   FRENTE 203
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;100,00%;203;Preventiva;Não listado;Programar;;;
165524542;Aprovisionamento;Preventiva Condicional;100781;BARRA;3460;Case Puma 230 4x4;23/07/2025;"A_MT_P_MEC_1_1,00 - Inspeção realizada no motor diesel, trocar mangote de admissão do coletor, está furado RISCO DE CONTAMINAÇÃO DO MOTOR DIESEL 8129945_1; 8162206_1; 8162290_1
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;99,91%;261;Preventiva;Não listado;Programar;;;
165529565;Aprovisionamento;Preventiva Condicional;100791;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_VZ_P_MEC_2_2,00 - Inspeção realizada no eixo dianteiro, trocar retentor grande cubo LD, está com vazamento, Conferir folga no rolamento e verificar trincas no articulador na região do rolamento. Reapertar parafusos do prolongador LD  6031339_1; 8118060_1; 8072952_1;8035182_1  NECESSÁRIO REMOVER O PNEU DIANTEIRO E CALÇAR O EIXO COM CAVALETE.  LEVAR SOQUETE 90MM E TORQUIMETRO PARA APERTAR A PORCA DO CUBO APLICAR TORQUE 500-545N.M  frente 203
";A_VZ_P;A;A_VZ;1;VZ;P;MATERIAL;33;92,19%;203;Preventiva;Não listado;Programar;;;
165529566;Liberado para Programação;Preventiva Condicional;100791;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_MT_S_MEC_1_1,00 - Inspeção realizada no motor, verificar perca de potência, gerando código 3141 perca de pressão do fluxo de combustível
";A_MT_S;A;A_MT;1;MT;S;SERVIÇO;33;92,19%;203;Preventiva;Não listado;Ver e agir;;;
165517051;Aprovisionamento;Preventiva Condicional;139522;BARRA;3420;John Deere CH570 1L Colhe;10/07/2025;"A_MT_P_MEC_1,00_100 - Inspeção realizada no sistema de motor. Trocar mangueira e tampa que abastece o carter, esta ressecada e com vazamentos.   8140815_1  8144333_1 8148355_1      f-201
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;77,66%;201;Preventiva;Não listado;Programar;;;
165519220;Aprovisionamento;Preventiva Condicional;100776;BARRA;3460;Case Puma 230 4x4;12/07/2025;"A_MT_P_MEC_1_1,00 - Inspeção realizada no motor, trocar mangueira do respiro do motor, está ressecada     6000089_2;  8194198_1     FRENTE 206
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;100,00%;206;Preventiva;SEM DEVOLUTIVA;Programar;;;
165529522;Aprovisionamento;Preventiva Condicional;100804;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_MT_P_MEC_1_1,00 - Inspeção realizada no motor, trocar purificador de ar, está quebrado e borracha de vedação da linha de vácuo do sistema de limpeza do purificador de ar ao escapamento, está quebrada 8150436_1; 8174443_2; 8162187_2; 8129943_1; 8165112_1  frente 203
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;69,22%;203;Preventiva;Não listado;Programar;;;
165519179;Aprovisionamento;Preventiva Condicional;100825;BARRA;3460;Case Puma 230 4x4;12/07/2025;"A_MT_P_MEC_1_1,00 - Inspeção realizada no motor, trocar purificador de ar e mangueira linha de vácuo do sistema de limpeza do purificador de ar ao escapamento, está quebrada 8150436_1; 8174443_2; 8162187_2; 8129943_1; 8165112_1 
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;0,8563;208;Preventiva;Não listado;Programar;;;
165529572;Aprovisionamento;Preventiva Condicional;163513;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_VZ_P_MEC_2_2,00 - Inspeção realizada no sistema comando. Trocar reparo do comando, esta vazando.      8130009_3   8037627_3       
";A_VZ_P;A;A_VZ;1;VZ;P;MATERIAL;33;98,68%;203;Inversas;Não listado;Não programar;;;
165529574;Aprovisionamento;Preventiva Condicional;100777;BARRA;3460;Case Puma 230 4x4;02/08/2025;"A_OT_P_MEC_1_1,00 - Inspeção realizada no banco, trocar botão LD do banco, está danficado 8092631_1

";A_OT_P;A;A_OT;1;OT;P;MATERIAL;33;98,75%;203;Inversas;Não listado;Não programar;;;
